"id,name,type,description"
"1,人工智能,领域,模拟人类智能的计算机系统"
"2,机器学习,技术,通过数据训练模型"
"3,深度学习,技术,基于神经网络的机器学习"
"4,神经网络,模型,模仿生物神经网络的算法"
"5,卷积神经网络,模型,用于图像处理的神经网络"
"6,循环神经网络,模型,处理序列数据的神经网络"
"7,自然语言处理,应用,计算机理解人类语言的技术"
"8,计算机视觉,应用,让计算机""看懂""图像的技术"
"9,强化学习,技术,通过奖励机制学习的算法"
"10,监督学习,技术,使用标注数据训练模型"
"11,无监督学习,技术,从无标注数据中发现模式"
"12,半监督学习,技术,结合标注和未标注数据"
"13,生成对抗网络,模型,生成器与判别器对抗训练"
"14,Transformer,模型,基于自注意力机制的架构"
"15,BERT,模型,谷歌开发的预训练语言模型"
"16,GPT-3,模型,OpenAI的大规模语言模型"
"17,AlphaGo,系统,击败人类围棋冠军的AI"
"18,AlphaFold,系统,预测蛋白质结构的AI"
"19,自动驾驶,应用,无人驾驶汽车技术"
"20,智能客服,应用,自动化客户服务系统"
"21,吴恩达,人物,机器学习领域专家"
"22,Geoffrey Hinton,人物,深度学习先驱"
"23,Yann LeCun,人物,卷积神经网络发明人"
"24,Demis Hassabis,人物,DeepMind创始人"
"25,李飞飞,人物,计算机视觉专家"
"26,数据挖掘,技术,从大数据中提取知识"
"27,特征工程,技术,优化输入特征的方法"
"28,过拟合,概念,模型在训练数据上表现过好"
"29,欠拟合,概念,模型未能学习数据规律"
"30,正则化,技术,防止过拟合的方法"
"31,梯度下降,算法,优化模型参数的常用方法"
"32,反向传播,算法,神经网络训练的核心算法"
"33,损失函数,概念,衡量模型预测误差的函数"
"34,准确率,指标,分类模型的评估指标"
"35,精确率,指标,正类预测的准确性"
"36,召回率,指标,正类识别的覆盖率"
"37,F1分数,指标,精确率和召回率的调和平均"
"38,混淆矩阵,工具,分类模型性能的可视化"
"39,ROC曲线,工具,分类器性能的可视化"
"40,AUC值,指标,ROC曲线下面积"
"41,Python,语言,AI开发主要编程语言"
"42,TensorFlow,框架,谷歌开发的深度学习框架"
"43,PyTorch,框架,Facebook开发的深度学习框架"
"44,Scikit-learn,库,Python机器学习库"
"45,Pandas,库,Python数据处理库"
"46,Numpy,库,Python科学计算库"
"47,Jupyter,工具,交互式编程笔记本"
"48,云计算,平台,提供AI算力的基础设施"
"49,GPU,硬件,加速深度学习训练的处理器"
"50,TPU,硬件,谷歌专用AI加速芯片"
"51,数据标注,过程,为数据添加标签"
"52,数据清洗,过程,处理数据中的噪声"
"53,数据增强,技术,扩展训练数据集的方法"
"54,迁移学习,技术,复用预训练模型"
"55,联邦学习,技术,分布式隐私保护学习"
"56,可解释AI,领域,让AI决策透明化的研究"
"57,伦理AI,领域,AI应用的道德规范"
"58,AI安全,领域,防止AI系统被攻击"
"59,AI偏见,问题,算法中的歧视性偏差"
"60,通用人工智能,概念,具备人类水平智能的AI"
"61,专家系统,技术,早期基于规则的AI系统"
"62,知识图谱,技术,结构化知识表示方法"
"63,推荐系统,应用,个性化内容推荐"
"64,语音识别,应用,将语音转为文本"
"65,机器翻译,应用,自动翻译不同语言"
"66,情感分析,应用,识别文本情感倾向"
"67,图像分割,技术,将图像分成多个区域"
"68,目标检测,技术,识别图像中的物体"
"69,姿态估计,技术,识别人体关节位置"
"70,生成艺术,应用,AI创作绘画/音乐"
"71,医疗诊断,应用,辅助医生诊断疾病"
"72,金融风控,应用,识别金融欺诈行为"
"73,智能家居,应用,自动化家庭设备控制"
"74,智慧城市,应用,优化城市管理的AI"
"75,农业无人机,应用,农田监测和喷洒"
"76,工业质检,应用,自动化产品缺陷检测"
"77,量子计算,技术,未来可能加速AI的算力"
"78,边缘计算,技术,在设备端运行AI模型"
"79,多模态学习,技术,融合文本/图像/语音数据"
"80,元学习,技术,""学会学习""的算法"
"81,自监督学习,技术,从数据本身生成标签"
"82,小样本学习,技术,用少量数据训练模型"
"83,因果推理,领域,研究因果关系对AI的影响"
"84,概率图模型,模型,用图表示概率分布"
"85,马尔可夫链,模型,状态转移的概率模型"
"86,贝叶斯网络,模型,基于贝叶斯定理的图模型"
"87,决策树,模型,树状结构的分类方法"
"88,随机森林,模型,多决策树的集成方法"
"89,支持向量机,模型,基于间隔最大化的分类器"
"90,K均值聚类,算法,无监督聚类方法"
"91,主成分分析,技术,数据降维方法"
"92,t-SNE,技术,高维数据可视化方法"
"93,Word2Vec,模型,词嵌入技术"
"94,GloVe,模型,全局词向量表示"
"95,注意力机制,技术,聚焦关键信息的方法"
"96,知识蒸馏,技术,大模型压缩为小模型"
"97,模型微调,技术,调整预训练模型参数"
"98,超参数优化,过程,调整模型结构参数"
"99,MCMC,算法,马尔可夫链蒙特卡洛方法"
"100,AI芯片,硬件,专为AI设计的处理器"
