"sourceId,targetId,type,weight,description"
"1,2,包含,1.0,人工智能包含机器学习"
"1,3,包含,1.0,人工智能包含深度学习"
"1,7,包含,0.9,人工智能包含自然语言处理"
"1,8,包含,0.9,人工智能包含计算机视觉"
"2,3,属于,0.8,深度学习属于机器学习"
"2,10,包含,0.7,机器学习包含监督学习"
"2,11,包含,0.7,机器学习包含无监督学习"
"2,12,包含,0.6,机器学习包含半监督学习"
"3,4,基于,1.0,深度学习基于神经网络"
"3,5,使用,0.9,深度学习使用卷积神经网络"
"3,6,使用,0.9,深度学习使用循环神经网络"
"3,13,包含,0.8,深度学习包含生成对抗网络"
"4,14,演进为,0.7,神经网络演进为Transformer"
"5,8,应用于,1.0,卷积神经网络应用于计算机视觉"
"6,7,应用于,1.0,循环神经网络应用于自然语言处理"
"7,15,使用,0.9,自然语言处理使用BERT"
"7,16,使用,0.9,自然语言处理使用GPT-3"
"9,17,实现,1.0,强化学习实现AlphaGo"
"9,18,实现,1.0,强化学习实现AlphaFold"
"10,51,需要,0.8,监督学习需要数据标注"
"11,52,需要,0.7,无监督学习需要数据清洗"
"13,70,用于,0.6,生成对抗网络用于生成艺术"
"14,15,影响,0.9,Transformer影响BERT设计"
"14,16,影响,0.9,Transformer影响GPT-3设计"
"15,64,应用于,0.8,BERT应用于语音识别"
"16,65,应用于,0.8,GPT-3应用于机器翻译"
"17,21,由...开发,0.7,AlphaGo由吴恩达参与开发"
"18,22,基于,0.8,AlphaFold基于Hinton的研究"
"19,49,依赖,0.9,自动驾驶依赖GPU算力"
"20,66,使用,0.7,智能客服使用情感分析"
"21,22,合作,0.6,吴恩达与Hinton有合作"
"22,23,合作,0.6,Hinton与LeCun合作"
"23,5,发明,1.0,LeCun发明卷积神经网络"
"24,17,创建,1.0,Hassabis创建DeepMind(开发AlphaGo)"
"25,8,贡献,1.0,李飞飞对计算机视觉贡献"
"26,27,包含,0.7,数据挖掘包含特征工程"
"28,30,通过...缓解,0.8,过拟合通过正则化缓解"
"29,31,通过...改善,0.7,欠拟合通过梯度下降改善"
"32,33,优化,1.0,反向传播优化损失函数"
"34,35,与...相关,0.8,准确率与精确率相关"
"36,37,组合为,0.9,召回率与精确率组合为F1分数"
"38,39,可视化,0.7,混淆矩阵与ROC曲线可视化性能"
"40,34,补充,0.6,AUC值补充准确率评估"
"41,42,支持,1.0,Python支持TensorFlow"
"41,43,支持,1.0,Python支持PyTorch"
"44,10,实现,0.9,Scikit-learn实现监督学习"
"45,46,协同,0.8,Pandas与Numpy协同工作"
"47,41,使用,0.9,Jupyter使用Python内核"
"48,19,赋能,0.8,云计算赋能自动驾驶"
"50,16,加速,1.0,TPU加速GPT-3训练"
"53,5,增强,0.7,数据增强帮助卷积神经网络"
"54,15,基于,0.9,迁移学习基于BERT"
"55,73,用于,0.6,联邦学习用于智能家居隐私"
"56,59,研究,1.0,可解释AI研究AI偏见"
"57,58,关联,0.8,伦理AI关联AI安全"
"60,1,是...目标,0.9,通用人工智能是AI目标"
"61,62,演进为,0.7,专家系统演进为知识图谱"
"63,34,评估,0.8,推荐系统用准确率评估"
"67,68,前置,0.7,图像分割是目标检测前置"
"69,70,支持,0.6,姿态估计支持生成艺术"
"71,18,应用,0.7,医疗诊断应用AlphaFold"
"72,26,基于,0.8,金融风控基于数据挖掘"
"74,75,包含,0.6,智慧城市包含农业无人机"
"76,8,使用,0.9,工业质检使用计算机视觉"
"77,60,可能加速,0.5,量子计算可能加速通用AI"
"78,20,实现,0.7,边缘计算实现智能客服"
"79,16,增强,0.8,多模态学习增强GPT-3"
"80,9,优化,0.7,元学习优化强化学习"
"81,12,扩展,0.6,自监督学习扩展半监督学习"
"82,83,关联,0.5,小样本学习关联因果推理"
"84,85,包含,0.7,概率图模型包含马尔可夫链"
"86,87,优于,0.6,贝叶斯网络优于决策树"
"88,89,组合,0.7,随机森林组合决策树和SVM"
"90,91,与...互补,0.5,K均值与PCA互补"
"92,93,可视化,0.8,t-SNE可视化Word2Vec"
"94,95,结合,0.7,GloVe结合注意力机制"
"96,97,包含,0.8,知识蒸馏包含模型微调"
"98,99,使用,0.6,超参数优化使用MCMC"
"100,49,替代,0.7,AI芯片替代传统GPU"
